Feature,p_value,log2fc,-log10(p),Taxon
529cc65492ab2e696f7342c9ed9dfafb,0.008727643220347895,4.867571064771397,2.059103015696661,d__Bacteria
6534df8ed0c066ad73133bbe99c14078,0.009386978930616578,3.9177342411781053,2.027474156921321,f__Lachnospiraceae
7e2cade96598bc5c906425b24cfb2b45,0.009462467313002983,-21.65967462204477,2.0239956077092502,d__Bacteria
c1cc6e5fa43644d58d44f6378ac6ce77,0.010190679763558743,2.014949233107536,1.9917968456583253,g__Eikenella
6846e305d7a45047b184c244b483cd6a,0.010225211645051626,2.255963895768696,1.990327694046608,g__Campylobacter
aebd11a865f662077ad41892bf287521,0.010271041821062272,-2.82274957769012,1.9883855024406292,o__Bacteroidales
af6bf02b277361753f0c19a6622814e2,0.010326903236468536,2.258416146237431,1.9860298923181607,s__Clostridiales_bacterium
7de82290c77efa7b71ace96b87c67fa3,0.01064288130892541,-2.148649174101168,1.9729407811418396,s__Dickeya_phage
c0feb32d979a71923b9fba65c875f89b,0.010792838257946878,-3.448898382410859,1.9668643312510123,s__Streptomyces_sp.
e8a268ea8a3fd9bea902aea3d81057c2,0.010845311255263022,1.2719859744538187,1.9647579794263277,s__Streptococcus_anginosus
059eeca9d42d840556d5b5f063c7a994,0.01105760348752451,22.1933759725912,1.9563389874003188,d__Bacteria
6ce894c54efecd3997bc48cf63f1bfab,0.011401435206629121,22.75841987034042,1.943040476462888,d__Bacteria
a5c9ec8023a8893a18eaf460a707beb9,0.011805032593008373,22.578953800846413,1.9279328095217942,d__Bacteria
89d8652020965032bd2e7e5e85633c52,0.012042995373484732,-3.3546935386188608,1.9192654804882119,d__Bacteria
a0d520c24d1136e722e0af21979772d6,0.014048773536049584,-2.8773164844988104,1.8523615881984299,d__Bacteria
41b13bb37d4202931283abc18bf902cd,0.014222675783340353,-2.1849684914852103,1.847018689919976,o__Bacteroidales
8a721ca44058d4fd5020255258a0e921,0.014360651998893898,-3.025533884109545,1.8428258419117018,s__Dickeya_phage
17311379f94b7a6580445e55287808a3,0.014686034455810423,22.55685519883789,1.8330954572019627,d__Bacteria
3b77e6acaa166f8755b8c530ab0c61b9,0.015393744618341709,2.979819178490423,1.8126557226462918,s__Treponema_zuelzerae
6e3fac1a1661453c12219328320b41a0,0.015517135370063724,1.4339114933357837,1.8091884511064011,g__Campylobacter
6e3cd6e0b4712f2deffb6f400d38d0d5,0.01648708532617548,-1.7173365974793642,1.782856114436846,d__Bacteria
b95a84445cbab68e0274a97b348cf870,0.0166829090781033,20.486784708485068,1.7777282171030129,d__Bacteria
5840cdb354451a6448ebe7728d495b6c,0.016764343895274668,22.01034602421577,1.7756134388493918,d__Bacteria
6755a24d15d50541bb14b94aa332f9c0,0.01736572137188732,1.527387767633795,1.7603071713901906,o__Bacteroidales
d9c81bec70c47a807a9ce76353e8adfc,0.017722517900455006,-2.57082368060365,1.7514745763208368,c__Bacteroidia
6d161cc804f22a42f66535b10d3ee74f,0.017976916000572673,-2.0655313844503103,1.7452848108682555,o__Bacteroidales
9e4bb9fe359c3678e98ab8f606a96d2f,0.018485879678403087,22.20762995331397,1.733159878042662,c__Bacilli
add805e806f56da0e8528c404718f954,0.01851498722559461,2.644510460148712,1.7324765832556774,o__Bacteroidales
144c21a327262bf1226655144604c729,0.018582786430449364,22.397232402850513,1.7308891643662665,d__Bacteria
9622ff6bc5bc70b004530d64835c2ece,0.019052962265557177,2.66888219165146,1.7200374926617965,s__uncultured_bacterium
1ed5502635505bb7f8729995d788b83f,0.019349483291897316,-2.126753805217113,1.713330627878866,s__uncultured_bacterium
d1f627fab1fd9d8bfa9c106d15dc91d4,0.019763340478314725,2.9032135349681996,1.7041396473654848,g__Fusobacterium
48e5a9dbe7d6b2c480ff88eae25a6b54,0.019833174978702454,2.0900632005995505,1.7026077565281006,s__Prevotella_baroniae
96d9e09db80285c58a12368cd54c4f8f,0.01994697748214789,22.049309170660432,1.70012290259738,d__Bacteria
a5ed4154e6d0be2f447659850dda1bda,0.020487306344247606,21.904324100682935,1.6885151385598043,s__Streptomyces_sp.
c2ab0d61270e78ca9bcc3702d5d2c52b,0.02050438863564406,21.97268790718885,1.6881531752243126,d__Bacteria
fbc939dea96fff813daab7231b70ca0d,0.021019468292304756,20.346607150623893,1.6773782740660377,f__Lachnospiraceae
a95b4ee468cfe6883351237b8ff1a248,0.021082486987920215,-3.6880516465376814,1.6760781590466884,f__Lachnospiraceae
94433a0d89d1d2d5ac071ecb1c2abc56,0.02118287135455417,-3.160918681265181,1.674015171286238,f__Streptococcaceae
1a4af03ef3e9d4daa806d0329763f6bf,0.022382154450059196,3.7395325307494245,1.6500981116978215,s__uncultured_bacterium
fe5a54bc1dec65eea10c3b420494d738,0.02245200506216601,1.8029536132310569,1.6487448685336714,s__Staphylococcus_carnosus
5b758cf0c8319af052aaa62e51a39d09,0.023427889775626817,-2.1069136381082334,1.630266827923472,f__Actinomycetaceae
3522916e17ab85aba0d56de0f0c9998d,0.023628859827870257,1.7259696429942595,1.626557234034622,s__unidentified
85be804804fa8629795ad3aaf3079790,0.02434114054771647,-20.931569290671515,1.6136590759837453,g__Chryseobacterium
42a1d25e062fd5f802583d78cfcd277e,0.02523397319983065,18.404325724809606,1.5980143625261038,f__Veillonellaceae
87501763af46b669bb2cfde09a635db8,0.025644337847999774,3.7789671623107006,1.5910085101943456,f__Lachnospiraceae
2ef4aab3a1c89eb601a93fde2de74078,0.02568984135070646,-2.7134761248308332,1.5902385777393173,s__Dickeya_phage
11b050131bf43faac31f0407833ac383,0.02604057483804206,3.235758636759364,1.5843494330748837,c__Bacteroidia
50fc6c257a0761b112abe2c01c0c9ce2,0.026216935355865712,2.6822912524560114,1.5814180767887664,o__Bacillales
